budget,popularity,revenue,runtime,vote_count,has_homepage,release_year,release_month,movie_age,genre_count,keyword_count,company_count,country_count,spoken_language_count,crew_count,director_movie_count,cast_count,main_actor_movie_count,has_budget,has_revenue,profit,profit_ratio,log_budget,log_revenue,original_language_ar,original_language_cn,original_language_cs,original_language_da,original_language_de,original_language_el,original_language_en,original_language_es,original_language_fa,original_language_fr,original_language_he,original_language_hi,original_language_hu,original_language_id,original_language_is,original_language_it,original_language_ja,original_language_ko,original_language_ky,original_language_nb,original_language_nl,original_language_no,original_language_pl,original_language_ps,original_language_pt,original_language_ro,original_language_ru,original_language_sl,original_language_sv,original_language_ta,original_language_te,original_language_th,original_language_tr,original_language_vi,original_language_xx,original_language_zh,release_season_spring,release_season_summer,release_season_winter,main_genre_Adventure,main_genre_Animation,main_genre_Comedy,main_genre_Crime,main_genre_Documentary,main_genre_Drama,main_genre_Family,main_genre_Fantasy,main_genre_Foreign,main_genre_History,main_genre_Horror,main_genre_Music,main_genre_Mystery,main_genre_Romance,main_genre_Science Fiction,main_genre_TV Movie,main_genre_Thriller,main_genre_Unknown,main_genre_War,main_genre_Western,is_highly_rated
215000000,89.866276,752215857,136.0,6586,1,2012.0,6.0,14.0,3,12,3,1,1,106,3,57,3,1,1,537215857,3.4986784046511628,19.186148590743098,20.438533885937286,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,37.668301,310669540,140.0,1398,1,2010.0,5.0,16.0,2,8,4,2,2,18,16,34,13,1,1,110669540,1.5533477,19.11382792951231,19.554240336084877,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
250000000,94.370564,958400000,161.0,4524,1,2013.0,12.0,13.0,2,7,4,2,1,108,9,32,3,1,1,708400000,3.8336,19.33697147982652,20.680775786368866,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
180000000,42.990906,372234864,113.0,1303,1,2007.0,12.0,19.0,2,9,4,2,4,32,6,29,1,1,1,192234864,2.0679714666666666,19.00846741441004,19.73503557054199,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
207000000,61.22601,550000000,187.0,2337,0,2005.0,12.0,21.0,3,10,4,3,1,38,9,33,9,1,1,343000000,2.657004830917874,19.14822935606056,20.125428838008972,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,100.025899,1845034188,194.0,7562,1,1997.0,11.0,29.0,3,19,3,1,6,65,7,136,5,1,1,1645034188,9.22517094,19.11382792951231,21.33576364489052,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
250000000,198.372395,1153304495,147.0,7241,1,2016.0,4.0,10.0,3,11,5,1,4,119,4,100,8,1,1,903304495,4.61321798,19.33697147982652,20.865897133567135,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
209000000,64.928382,303025485,131.0,2114,0,2012.0,4.0,14.0,4,26,4,1,2,122,6,46,2,1,1,94025485,1.4498827033492823,19.157844814713773,19.52932747214763,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
150000000,418.708552,1513528810,124.0,8662,1,2015.0,6.0,11.0,4,16,5,1,1,435,2,28,3,1,1,1363528810,10.090192066666667,18.826145858727198,21.137709722254115,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,93.004993,1108561013,143.0,7604,1,2012.0,10.0,14.0,3,12,1,2,1,30,7,24,8,1,1,908561013,5.542805065,19.11382792951231,20.826328627454465,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,35.149586,783766341,127.0,4321,1,2004.0,6.0,22.0,3,11,3,1,3,128,11,76,5,1,1,583766341,3.918831705,19.11382792951231,20.47962150073071,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,77.68208,1215439994,130.0,8806,1,2013.0,4.0,13.0,3,16,1,2,1,29,2,107,12,1,1,1015439994,6.07719997,19.11382792951231,20.91837198398605,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,78.530105,1025491110,108.0,4645,1,2010.0,3.0,16.0,3,7,5,1,1,24,14,35,2,1,1,825491110,5.12745555,19.11382792951231,20.748437467472296,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
210000000,3.857526,459359555,104.0,3525,0,2006.0,5.0,20.0,4,7,11,3,1,39,9,32,10,1,1,249359555,2.1874264523809526,19.162618093443648,19.94534380777439,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,89.186492,743559607,104.0,3528,0,2013.0,6.0,13.0,2,8,2,1,1,13,1,24,2,1,1,543559607,3.717798035,19.11382792951231,20.426959492809576,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
150000000,21.939663,836297228,150.0,3138,1,2009.0,6.0,17.0,3,10,7,1,2,55,12,37,8,1,1,686297228,5.575314853333333,18.826145858727198,20.544494644941985,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
210000000,116.840296,1091405097,165.0,3095,1,2014.0,6.0,12.0,3,7,8,1,1,86,12,41,20,1,1,881405097,5.1971671285714285,19.162618093443648,20.810731783770184,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
200000000,46.985445,491868548,130.0,3530,1,2013.0,3.0,13.0,3,9,2,1,1,31,11,159,7,1,1,291868548,2.45934274,19.11382792951231,20.013722061929226,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,89.270217,705717432,142.0,4179,1,2014.0,4.0,12.0,3,8,4,1,1,102,3,65,3,1,1,505717432,3.52858716,19.11382792951231,20.374725478797583,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
170000000,73.79505,400062763,125.0,2841,1,2010.0,12.0,16.0,3,10,6,1,1,27,2,23,2,1,1,230062763,2.3533103705882352,18.951309000896888,19.80713200276317,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,49.98659,559852396,106.0,2033,1,2011.0,6.0,15.0,4,6,2,1,4,40,4,47,13,1,1,359852396,2.79926198,19.11382792951231,20.14318373016529,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,51.872839,219851172,114.0,2487,1,2011.0,6.0,15.0,4,10,3,1,1,47,8,23,10,1,1,19851172,1.09925586,19.11382792951231,19.208461389032852,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,59.995418,1066969703,103.0,4597,1,2010.0,6.0,16.0,3,13,2,1,2,38,1,45,24,1,1,866969703,5.334848515,19.11382792951231,20.78808841523593,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
200000000,71.862892,371353001,115.0,2463,1,2009.0,5.0,17.0,3,13,4,4,2,55,6,15,16,1,1,171353001,1.856765005,19.11382792951231,19.732663656064677,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
190000000,102.322217,1506249360,137.0,4176,1,2015.0,4.0,11.0,1,7,10,2,1,98,7,52,11,1,1,1316249360,7.927628210526316,19.06253463538792,21.132888530970785,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
200000000,81.834855,531865000,116.0,5560,1,2013.0,6.0,13.0,5,6,7,2,1,31,8,22,17,1,1,331865000,2.659325,19.11382792951231,20.091900257585234,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
250000000,118.078691,747862775,131.0,6032,1,2014.0,5.0,12.0,4,10,7,2,1,86,8,65,10,1,1,497862775,2.9914511,19.33697147982652,20.432730064563454,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
190000000,78.291018,467365246,132.0,4418,0,2013.0,5.0,13.0,3,10,4,1,1,107,4,98,6,1,1,277365246,2.4598170842105263,19.06253463538792,19.96262162343216,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
195000000,43.349855,197687603,114.0,2598,1,2013.0,2.0,13.0,3,2,6,1,1,43,8,23,2,1,1,2687603,1.0137825794871795,19.088510121656228,19.102198585112838,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
105000000,61.196071,351040419,143.0,3769,0,2013.0,5.0,13.0,2,5,6,2,1,18,4,31,16,1,1,246040419,3.3432420857142855,18.46947091764561,19.676411931495274,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
150000000,62.169881,335154643,116.0,2317,1,2010.0,5.0,16.0,4,6,2,1,1,46,7,13,12,1,1,185154643,2.2343642866666666,18.826145858727198,19.630102607154413,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
180000000,56.523205,407602906,131.0,4794,1,2013.0,7.0,13.0,3,7,4,2,1,27,5,43,3,1,1,227602906,2.264460588888889,19.00846741441004,19.82580399127956,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
195000000,28.529607,1123746996,154.0,3299,1,2011.0,6.0,15.0,3,12,4,1,1,29,12,39,8,1,1,928746996,5.762805107692308,19.088510121656228,20.839934471443975,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
185000000,75.674458,786636033,122.0,2495,1,2008.0,5.0,18.0,2,16,2,1,3,14,27,38,19,1,1,601636033,4.252086664864865,19.035866388448003,20.48327622672714,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
175000000,51.692953,331926147,93.0,1736,1,2015.0,11.0,11.0,3,9,2,1,1,11,1,19,1,1,1,156926147,1.89672084,18.980296537602072,19.620423056352898,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
185000000,125.114374,538983207,93.0,4641,1,2012.0,6.0,14.0,6,17,2,1,1,44,1,15,1,1,1,353983207,2.9134227405405406,19.035866388448003,20.105194974399108,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
185000000,65.352913,343471816,122.0,2568,1,2016.0,7.0,10.0,3,4,7,1,1,108,5,33,6,1,1,158471816,1.8566044108108108,19.035866388448003,19.654615619681344,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
180000000,66.390712,521311860,98.0,6296,1,2008.0,6.0,18.0,2,1,3,1,1,52,4,29,1,1,1,341311860,2.896177,19.00846741441004,20.071859002213046,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
140000000,22.57178,258022233,91.0,783,0,2007.0,8.0,19.0,4,1,1,1,5,18,9,18,3,1,1,118022233,1.84301595,18.757152987716434,19.36855631746733,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
